29969742	46822571	2	1
29960317	60797755	2	1
25003764	74215323	1	1
32070389	78468571	2	1
30125175	17605922	0	1
13663419	15676309	1	1
32070389	85017611	2	1
13663419	81508148	1	1
32871691	73009950	2	1
32871691	73214241	2	1
30125175	93868746	0	1
29960317	16287865	0	1
32871691	71752391	2	1
30125175	60797755	0	1
30125175	6154428	0	1
32871691	61776943	2	1
32871691	6081186	1	1
28282475	12491045	1	1
28282475	4156841	1	1
28282475	1364404	0	1
28755767	75943787	2	1
32136939	65503200	1	1
32345367	16053451	0	1
29928861	70744165	1	1
29928861	18167172	0	1
32449688	69992142	2	1
28282475	75286204	1	1
16965651	76455835	0	1
33025805	61256514	0	1
32449688	16053451	2	1
32345367	67839834	1	1
10319610	72581182	1	1
14096345	75131988	0	1
28282475	73214241	0	1
28282475	6132153	2	1
32345367	82900774	1	1
14096345	84986265	0	1
33025805	31102171	1	1
21515166	12697219	0	1
10798016	6526074	2	1
30901412	5222185	1	1
30901412	65607413	1	1
14096345	66676859	0	1
21515166	16082575	0	1
14096345	75066331	2	1
22481487	71379069	1	1
30901412	13148373	1	1
21515166	6271760	0	1
16616574	76729905	2	1
22481487	72581182	1	1
21515166	1674626	1	1
21515166	61377345	0	1
29960317	70744165	0	1
22481487	68254523	1	1
21515166	16329637	0	1
32254355	87813009	2	1
32254355	76068551	2	1
10319610	62945228	0	1
29928861	82900774	2	1
32732290	76068551	0	1
29928861	14757686	0	1
10798016	65155203	0	1
30339681	79535742	0	1
32475513	16082575	2	1
6989385	70977719	2	1
29960317	4257083	0	1
6989385	4189327	2	1
32254355	6526074	2	1
32254355	73882686	2	1
30339681	78758277	2	1
31269093	92234118	1	1
31269093	60992209	0	1
30320478	62343841	2	1
21515166	37368811	0	1
31269093	2057449	0	1
31269093	91217118	1	1
30339681	69990343	0	1
30339681	891436	1	1
27011023	6526074	2	1
28079216	9159424	1	1
32817496	58484831	2	1
30320478	74879737	1	1
31269093	66755681	1	1
31184650	16287865	1	1
28079216	70463099	1	1
30194569	13176911	2	1
30320478	61159458	0	1
21515166	72541825	0	1
31184650	13509734	2	1
18716362	85205712	1	1
32817496	72581182	2	1
21515166	61898421	0	1
28079216	15597432	0	1
32173500	14827425	1	1
