algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_true,0.024263218235612942,0.011290322580645162,0.004202054417773663,0.006356736242884251,10
itemknn,cm100k_true,0.024261051762983078,0.01062618595825427,0.003928312674369271,0.005597722960151803,10
listrankmf,cm100k_true,0.02285143830447436,0.011005692599620495,0.0040045090701580615,0.0060721062618595825,10
randomguess,cm100k_true,0.011964739919024348,0.006356736242884252,0.009326121836289334,0.013662239089184063,10
slim,cm100k_true,0.014785418287483249,0.007305502846299812,0.00803085921991974,0.010815939278937384,10
svdpp,cm100k_true,0.01952511470076136,0.009297912713472486,0.0061476304002434125,0.009203036053130931,10
ranksgd,cm100k_true,0.019276406607435095,0.009582542694497155,0.005719823546319658,0.008444022770398482,10
userknn,cm100k_true,0.018346727149034153,0.009108159392789373,0.004739909743012327,0.007115749525616698,10
smootheditemaverage,cm100k_true,0.01078910849602333,0.005407969639468692,0.007749382664526953,0.010531309297912714,10
optimalobservedprecision,cm100k_true,0.02463601642624795,0.011764705882352943,0.004132416452583739,0.0060721062618595825,10
optimalobservedantiprecision,cm100k_true,0.006322347049401878,0.0045540796963946875,0.007685694291026157,0.011290322580645164,10
optimaltrueprecision,cm100k_true,0.03489813188660569,0.01584440227703985,0.004430884947756173,0.006641366223908919,10
optimaltrueantiprecision,cm100k_true,0.01973084929928533,0.009392789373814044,0.0020405669966020923,0.0031309297912713477,10
optimaltrueprecisionrestricted,cm100k_true,0.03194471992159997,0.013472485768500951,0.0024753565691666493,0.003795066413662239,10
optimaltrueantiprecisionrestricted,cm100k_true,0.03194471992159997,0.013472485768500951,0.0024753565691666493,0.003795066413662239,10
pnmf,cm100k_true,0.02281920627090289,0.009392789373814043,0.006936475188960122,0.009962049335863378,10
eals,cm100k_true,0.01242922509650763,0.006925996204933587,0.007156340406536986,0.01062618595825427,10
gbpr,cm100k_true,0.01983289900703146,0.009392789373814043,0.006845522488965425,0.009487666034155597,10
plsa,cm100k_true,0.01645326995015782,0.008349146110056927,0.0067236113099101505,0.010151802656546489,10
bpoissmf,cm100k_true,0.012386187928791367,0.007115749525616699,0.007703794311693581,0.011385199240986717,10
wrmf,cm100k_true,0.01563843194242058,0.008064516129032258,0.0044447877128957905,0.006641366223908918,10
wbpr,cm100k_true,0.01890846740230042,0.007779886148007591,0.006048725503881691,0.009013282732447819,10
