algorithm,dataset,recall,precision,fallout,antiprecision,recall_c,precision_c,fallout_c,antiprecision_c,cutoff
mostpopular,movielens1M,0.08581731236690653,0.14691071724366406,0.03400791930621414,0.03602782839158523,0.6023618827710336,0.696651469377989,0.4717214839167658,0.30334853062201084,10
itemknn,movielens1M,0.09266034501780077,0.13645850588040417,0.019345490173700946,0.017111147921152894,0.6260230173634718,0.7395370085530762,0.43045181465188986,0.26046299144692386,10
listrankmf,movielens1M,0.08089549865873347,0.13612721550438958,0.022040764745856766,0.024018552261056817,0.6167203355438114,0.7205043764510387,0.4491047481620329,0.2794956235489613,10
randomguess,movielens1M,0.0028381730596736864,0.005681629948649992,0.0030572708545391738,0.00412456518138148,0.5676756752306414,0.6246620706700216,0.523372722570209,0.3753379293299784,10
slim,movielens1M,0.11884390689039519,0.1917177405996356,0.028979952095771713,0.027000165645188007,0.6039974784068664,0.7079484712000862,0.46759216078949756,0.2920515287999138,10
svdpp,movielens1M,0.049114509689711476,0.08757661089945337,0.005663817315351775,0.006311081663077688,0.6358809615514636,0.7561346563914063,0.41592030630214905,0.24386534360859358,10
ranksgd,movielens1M,0.12219058315343376,0.18446248136491636,0.022426941145819383,0.021931422892164983,0.6274030700515941,0.7448873481257116,0.4270470142163862,0.2551126518742885,10
userknn,movielens1M,0.08349071255124327,0.14710949146927282,0.0337058691926875,0.03379161835348683,0.6082731197453531,0.7122718106070764,0.4624531159243798,0.28772818939292355,10
smootheditemaverage,movielens1M,0.019957809342369758,0.03246645684942853,0.0036334082450463845,0.0035945005797581586,0.6266028131857341,0.7382449760866192,0.4314023084582175,0.26175502391338074,10
optimalobservedprecision,movielens1M,0.08780072827026049,0.14980950803379164,0.02872296644748681,0.03150571475898625,0.612040450452671,0.7122221170506743,0.4563162604794184,0.2877778829493257,10
optimalobservedantiprecision,movielens1M,1.3392574923608268e-05,4.9693556402186525e-05,0.00015160912595985312,8.282259400364419e-05,0.5621348990306296,0.6168601823148784,0.5254488123577675,0.3831398176851216,10
optimaltrueprecision,movielens1M,0.08790945250070538,0.14942852410137486,0.02856250908803123,0.03130694053337751,0.6129346958299882,0.7129840849155077,0.45487975999416036,0.2870159150844922,10
optimaltrueantiprecision,movielens1M,0.0003313478922114388,0.0004306774888189498,0.0,0.0,0.5639517098326947,0.6224921187071262,0.5231470628567384,0.3775078812928738,10
optimaltrueprecisionrestricted,movielens1M,0.0003896514468098944,0.0005797581580255094,0.0,0.0,0.6293964792360449,0.743578751140454,0.42638571651540275,0.25642124885954604,10
optimaltrueantiprecisionrestricted,movielens1M,0.0003313478922114388,0.0004306774888189498,0.0,0.0,0.6293949454843042,0.7435621866216532,0.4263914284184376,0.25643781337834676,10
pnmf,movielens1M,0.08316122310155577,0.14488984594997517,0.03430013869648969,0.03682292529402021,0.601973559819431,0.6960717112199637,0.47217372761767124,0.3039282887800363,10
eals,movielens1M,0.15591629569667997,0.19600795096902437,0.08871257026684022,0.08181215835679974,0.5898099710709688,0.6718543847332981,0.4795382934462839,0.3281456152667019,10
gbpr,movielens1M,0.15088575847756255,0.21846943846281267,0.0670091760634027,0.07367897962564186,0.599924772693312,0.6910692265421436,0.4636639168143118,0.30893077345785647,10
plsa,movielens1M,0.13129518664544437,0.21649826072552592,0.037004762551160836,0.03470266688752692,0.6192133056013781,0.732215491243154,0.4421089847909505,0.267784508756846,10
bpoissmf,movielens1M,0.002504524799245425,0.0048534040086135495,0.0014469612940587238,0.0034454199105515984,0.5635986798388254,0.6177712308489184,0.5265957385617922,0.3822287691510815,10
wrmf,movielens1M,0.1887675705630688,0.26062613881066754,0.06953319990143586,0.06311081663077688,0.6145775903175295,0.7199743118494154,0.44687582081155847,0.28002568815058465,10
wbpr,movielens1M,0.0485615036967288,0.08789133675666723,0.023935679681905936,0.026205068742753027,0.6026536662846308,0.6954256949867353,0.4701713729427114,0.30457430501326477,10
