algorithm,dataset,recall,precision,fallout,antiprecision,recall_c,precision_c,fallout_c,antiprecision_c,cutoff
mostpopular,movielens1M,0.08892606195703723,0.14700812199569038,0.03588830789143044,0.037493784186971656,0.6020775556193851,0.6954031267183928,0.4722005926172705,0.3045968732816072,10
itemknn,movielens1M,0.09660132833484239,0.13875352229404941,0.020514832124906592,0.017586606994861597,0.626055450366105,0.7389469689196193,0.4305559561452633,0.2610530310803807,10
listrankmf,movielens1M,0.08307867623995614,0.1337642963699652,0.024620723565120392,0.023918448533068126,0.6156298124835555,0.7183270451669257,0.45127248039511453,0.2816729548330742,10
randomguess,movielens1M,0.0025563468753589343,0.005387037957898227,0.002341077220009872,0.004094148848002652,0.5647028429214186,0.6218576269670253,0.5246234481694608,0.37814237303297465,10
slim,movielens1M,0.12247432445018966,0.1921100613293552,0.03065779093171342,0.028062323885297533,0.6027761009156691,0.7057793906003753,0.46867421783575813,0.2942206093996248,10
svdpp,movielens1M,0.04945436792069036,0.08660699486159457,0.005632846942746708,0.006016907011437095,0.6348962464096279,0.7551080827933142,0.4179827730815472,0.244891917206686,10
ranksgd,movielens1M,0.12702246569101958,0.18536383225592573,0.02238164699542981,0.022327200397812032,0.6283883132039437,0.7451793574493722,0.4245399368269594,0.25482064255062764,10
userknn,movielens1M,0.08676469780207513,0.1497596552295707,0.0324236351861084,0.033233880324879825,0.6090533611617097,0.7129068562062099,0.4582241606767344,0.28709314379379025,10
smootheditemaverage,movielens1M,0.019044150301082512,0.031659207691032656,0.003755733889721577,0.003116194264876512,0.6255400414299737,0.7363943417026461,0.4324884075702402,0.263605658297354,10
optimalobservedprecision,movielens1M,0.09185548046449533,0.15073760981269685,0.03107803173206097,0.03209017072766451,0.6111195035097663,0.7096083314258351,0.4579444499078847,0.2903916685741649,10
optimalobservedantiprecision,movielens1M,6.103808148813381e-06,3.315100281783524e-05,0.0,0.0,0.5584189842485322,0.6112658815667269,0.5297266007157778,0.3887341184332731,10
optimaltrueprecision,movielens1M,0.0914700013737183,0.15098624233383062,0.03147926386043204,0.03262058677274988,0.6120532909303452,0.7106028615103703,0.4563758345740895,0.2893971384896298,10
optimaltrueantiprecision,movielens1M,0.0001490537242622734,0.0003978120338140229,0.0,0.0,0.5619166389952371,0.6201337748204979,0.5239592864846286,0.37986622517950214,10
optimaltrueprecisionrestricted,movielens1M,0.000201565412617928,0.0005469915464942816,0.0,0.0,0.6293734653697504,0.7434555053028449,0.4253451382132537,0.25654449469715507,10
optimaltrueantiprecisionrestricted,movielens1M,0.0001490537242622734,0.0003978120338140229,0.0,0.0,0.6293339998902053,0.7434555053028451,0.42535908268269307,0.25654449469715507,10
pnmf,movielens1M,0.08826956792098774,0.14745566053373116,0.03777389136912972,0.038587767279960224,0.601677867928834,0.6945909271493559,0.4728845900541813,0.3054090728506442,10
eals,movielens1M,0.15751748807293486,0.19524283109564067,0.0880530826062601,0.08035803083043262,0.5883880471367958,0.6707387806219234,0.48127204410172586,0.3292612193780767,10
gbpr,movielens1M,0.15322574287151514,0.21823305154980938,0.06396521950459857,0.07109232554284768,0.5975615298704949,0.6883916896224206,0.4649656348856244,0.3116083103775794,10
plsa,movielens1M,0.13994497766156944,0.2201392342118349,0.03605087211877288,0.03363169235869385,0.6211990092536566,0.7325322498743683,0.4380885659523949,0.26746775012563173,10
bpoissmf,movielens1M,0.009834935069935411,0.015083706282115033,0.002564057254984081,0.004326205867727499,0.5637300457987655,0.6178463556260673,0.5292059673487267,0.3821536443739328,10
wrmf,movielens1M,0.19310913732771884,0.26023537212000664,0.06810593094709734,0.06225758329189458,0.6144787838475887,0.7195370567697769,0.4458555311327488,0.2804629432302232,10
wbpr,movielens1M,0.0437105702037194,0.08049063484170396,0.02091827519005489,0.02559257417536881,0.6018856526213736,0.6929002260056462,0.4727268362182086,0.3070997739943538,10
