algorithm,dataset,recall,precision,fallout,antiprecision,recall_c,precision_c,fallout_c,antiprecision_c,cutoff
mostpopular,movielens1M,0.08611151100692861,0.14619718309859153,0.03502801623494133,0.03575807787903894,0.6030438911624963,0.6974681421864521,0.4678052856473722,0.30253185781354797,10
itemknn,movielens1M,0.0960425511945227,0.13769676884838444,0.018036056625664758,0.016570008285004142,0.6267630469936637,0.7401690535369078,0.42708428286503497,0.25983094646309224,10
listrankmf,movielens1M,0.08345279007483825,0.13615575807787905,0.021981130451653688,0.02251864125932063,0.6161904229644165,0.7202021935534778,0.4474682553309766,0.27979780644652225,10
randomguess,movielens1M,0.002869618301608608,0.005385252692626346,0.002833936503258672,0.004308202154101077,0.5650430170369338,0.6210969740008679,0.5212462593761993,0.37890302599913206,10
slim,movielens1M,0.1216390669533825,0.19216238608119302,0.026505850477650215,0.026727423363711682,0.6035643780083664,0.7068633368840495,0.4655047321375713,0.29313666311595066,10
svdpp,movielens1M,0.04636975074097065,0.08578293289146645,0.00542608434858742,0.006130903065451533,0.6350260539008711,0.7560596914822268,0.41259350128836453,0.24394030851777332,10
ranksgd,movielens1M,0.12465033938025148,0.18487158243579122,0.02493919245907105,0.02296603148301574,0.6281604509244076,0.7427705448376534,0.42226160409390684,0.25722945516234663,10
userknn,movielens1M,0.08398528725861429,0.14550124275062137,0.032881068732771086,0.03408450704225352,0.6089159313603467,0.7112378190712905,0.4561771817063517,0.28876218092870953,10
smootheditemaverage,movielens1M,0.01870262739363779,0.03055509527754764,0.0028185937191175475,0.003015741507870754,0.6268859009112024,0.7385617627332624,0.42595970453170695,0.2614382372667377,10
optimalobservedprecision,movielens1M,0.09032116116165109,0.14989229494614748,0.030637663142506235,0.031052195526097764,0.6122537777395782,0.7122982996015308,0.4531550932984257,0.28770170039846926,10
optimalobservedantiprecision,movielens1M,1.678484325982898e-05,6.628003314001658e-05,6.06632756737392e-05,9.942004971002487e-05,0.5598445263450276,0.613093659999211,0.5237212582396338,0.3869063400007891,10
optimaltrueprecision,movielens1M,0.09128985055230661,0.1503728251864126,0.02862009909910509,0.030836785418392708,0.6126829124709771,0.713193080048921,0.45197550234392936,0.286806919951079,10
optimaltrueantiprecision,movielens1M,0.00022295498547991713,0.00028169014084507044,0.0,0.0,0.5622855741241957,0.6187440328243974,0.5201611559782875,0.3812559671756026,10
optimaltrueprecisionrestricted,movielens1M,0.0006625642777376342,0.0012924606462303232,0.0,0.0,0.630726176353579,0.7455708762378191,0.4193829734074202,0.2544291237621809,10
optimaltrueantiprecisionrestricted,movielens1M,0.00022295498547991713,0.00028169014084507044,0.0,0.0,0.630715129681389,0.7455543062295342,0.41940368591777644,0.25444569377046594,10
pnmf,movielens1M,0.08784585468669497,0.14679370339685172,0.0356209463810809,0.03612261806130903,0.6025565020254487,0.6964408016727819,0.4682325524422801,0.3035591983272182,10
eals,movielens1M,0.15834915115899018,0.19648715824357915,0.08688738583759108,0.08059652029826016,0.5890269102203475,0.6712046790547205,0.4772874897705836,0.3287953209452795,10
gbpr,movielens1M,0.1545406008406557,0.22107705053852528,0.06753606805591805,0.07265948632974316,0.5987528998312385,0.6900613484830551,0.46221754049031955,0.30993865151694483,10
plsa,movielens1M,0.13795787437676732,0.22222038111019055,0.038764548599902034,0.0368185584092792,0.6196102370687103,0.7311383990215804,0.43702785162974384,0.26886160097841955,10
bpoissmf,movielens1M,0.002973792294844562,0.005948632974316488,0.0036437055387696735,0.006528583264291633,0.5653982347711782,0.6197713733380676,0.5219506525176723,0.3802286266619324,10
wrmf,movielens1M,0.19091738806236921,0.259817729908865,0.06692637073291083,0.061888980944490475,0.6143351710261308,0.7188765928906773,0.441580586996486,0.2811234071093226,10
wbpr,movielens1M,0.045610063900575204,0.08515327257663631,0.022080442063686086,0.025020712510356254,0.6027663353865454,0.6952974711011165,0.4691341211082264,0.3047025288988835,10
